epoch_id,delta_mean,peak_amplitude,delta_variance,auc_difference,abs_auc_activation,kurtosis_activation,extrema_abs_slope,extrema_line_length,power_epoch,power_ic_left,power_ic_right,ic_left_delta_mean,ic_left_peak_amplitude,ic_left_delta_variance,ic_left_auc_difference,ic_left_abs_auc_activation,ic_left_kurtosis_activation,ic_left_extrema_abs_slope,ic_left_extrema_line_length,ic_right_delta_mean,ic_right_peak_amplitude,ic_right_delta_variance,ic_right_auc_difference,ic_right_abs_auc_activation,ic_right_kurtosis_activation,ic_right_extrema_abs_slope,ic_right_extrema_line_length,condition,is_control
Control_000,6.123317959564411e-07,5.571608220229167e-06,1.915981288166086e-12,2.299985177188582e-05,2.2104564573400807e-05,-1.6085607319353405,2.3285678909547131e-07,33.000000000000895,8.488119330230606e-12,0.6278225983554254,0.7422148593351727,0.24840692713897272,0.7140626442057783,0.22599154232016017,-6.943808705052256,7.760170546637068,-0.5322451348700645,0.03463425061223588,79.04736728658239,0.33508028078062324,0.6184468632011352,0.03767650915288079,-10.588454711544482,10.89978830781893,0.2857282281781339,0.10241426061317661,29.15168915403376,Control,True
Control_001,2.9415568745958847e-06,-1.6088234658484844e-06,-3.489672454138752e-12,-8.796857251626505e-05,8.688379484335169e-05,-1.2672997417012601,2.0726157412624622e-07,38.00000000000082,3.269647496739711e-11,0.7840215513388111,0.3104481389369678,0.46306457832951275,1.1216965872332587,0.379102344058469,-9.268837962857896,10.085749091896211,-0.488726234765533,0.06120988304778472,50.09357867488416,-0.007345738791801781,0.9133323089754041,-0.002285731858608031,-3.1651288472427437,3.5748970931721535,-0.38420954311409217,0.03889548402109637,57.04310017734255,Control,True
Control_002,1.6699707582367816e-06,1.3768818033659687e-06,1.7859335732419689e-12,-3.810530667036509e-05,3.783102370036973e-05,-0.5290438310285848,2.2340079618922116e-07,31.000000000000774,8.026591670704477e-12,0.5004873317893859,0.26664901766720317,0.46500703897107165,0.7885548592467784,0.28708855900643493,-7.687044820057078,8.468995275728982,-0.42152591600661005,0.3703871308044739,7.464726700061627,-0.12967884636427146,0.6621113908145709,-0.19197985989989538,-2.855555430133888,3.2202265298859065,-1.1334485576369164,0.02296438703569639,71.01871892146166,Control,True
Control_003,1.0538792532339084e-08,6.423211476312769e-06,-3.887058679106501e-13,-1.609701148128941e-05,1.5932816556101932e-05,6.907380098707431,1.2087977877346734e-07,78.00000000000057,3.804565505588851e-12,0.5880691499172718,0.270225049421148,0.3762429651796769,0.9927757481800743,0.17903248365272956,-8.323632509110087,8.91552371887108,-0.6548498565577869,0.15803658462657247,17.21098304691643,0.10792387319179708,1.1874186699382312,-0.0320405014896297,3.6636289195844363,3.469166879116361,-0.31198557047940145,0.05626537568341957,37.05852088162168,Control,True
Control_004,3.0357261294989217e-06,2.8205862512232876e-06,4.990274728515869e-13,-6.646830441060756e-05,6.60636990862073e-05,3.4840246048283774,1.0208938805114384e-07,96.0000000000005,1.755445329685777e-11,0.2770551776385516,0.5900173554725167,0.20422831773817834,1.503074004754106,0.27857823496566936,0.32191473844978,0.41089558023916584,0.5692206372427528,0.188071458160686,15.262976331938162,0.3777001359248095,2.0411652258068678,0.4619491077949821,5.8995225887798055,5.363615152170786,0.5914357907439096,0.13511440876981723,30.27260003883868,Control,True
Control_005,5.473190252751168e-06,1.4582689193097728e-05,1.5093790342956517e-11,0.0001057248995196209,0.0001054260886984414,-1.139544609380226,1.677946458833061e-07,85.0000000000012,5.118462876209283e-11,0.540413354087662,0.342705383853639,0.15121256408667377,1.6629620469920379,0.3367392313415018,1.5425012612708047,0.846402572983173,0.6047228762424162,0.04627049506459481,80.08559256050083,0.16322177912739427,1.3973791218540503,0.21158781467680965,0.8608795691696957,0.3877808102236632,0.01587395850002915,0.11620579817093808,25.168231308642657,Control,True
Control_006,4.360337200688369e-06,-3.074534808728323e-06,-4.594298224529851e-12,-0.0001104224187096184,0.00010890488357526692,-1.21460961211247,1.0528842907532773e-07,77.00000000000043,4.7383703609270065e-11,0.3845167752690166,0.13654102308115623,-0.09948513662696756,1.376142740135543,-0.35212207909463855,8.223980480027443,7.455895995027433,0.2935360282710846,0.039802075607656265,41.03246335499882,0.06725332209769044,1.0654093704691767,0.03824110747674839,2.372027808497327,1.886221236994388,-0.5061594778442728,0.0459537307230529,35.03693605432736,Control,True
Control_007,8.973231443342396e-07,3.359584211014459e-06,6.411595812186608e-12,-1.3843712479843379e-05,1.4386783925207025e-05,-1.0487672852591026,2.7052726216731526e-07,36.000000000001315,8.754832147148191e-12,0.38573158818156034,0.22327682902788643,0.04658230214991638,1.8536403799978778,0.12359920477365227,2.8557971937769318,2.044836226060435,0.024714982176490707,0.07343996042286999,41.11041658886224,0.009183023561130432,1.5532954634469254,0.050330012695475906,0.6628477842524703,0.17334685176870396,0.7747053382152234,0.025908441670046207,97.03255003509899,Control,True
Control_008,2.0954500072770197e-06,-1.3998077866194377e-06,-8.968523111158597e-13,-5.348502955208599e-05,5.266267370165743e-05,-0.6745741697152283,1.6018211752208927e-07,32.00000000000041,1.1503406862510954e-11,0.3478462427001265,0.5014152442754238,0.10577745621651374,0.8727353786825939,0.08719840810095689,-3.108620497530765,3.9664837011754517,-0.7907381684574508,0.019835317057813384,109.02144036058631,0.05777653026898111,0.8220890463227922,-0.11576829983209919,-7.031706690261241,7.385732281228578,-0.471248366125415,0.02724305373279736,80.02968185274014,Control,True
Control_009,1.0657102723010868e-06,6.578504894109467e-06,7.268852135378974e-12,1.0255398274820703e-05,1.0261254173579926e-05,-1.013929697927069,2.592759965764186e-07,43.00000000000145,9.492185460062495e-12,0.3594183704262565,0.4280602226440808,0.03231448032986545,1.5371177914287353,0.017240461559621112,2.0829990176684596,1.1520821647332482,0.25930682175718456,0.0783221162563048,38.11637452623461,0.3108285029248809,1.4998220096648485,0.32570321269592717,-3.9147823891983915,4.3867490458370355,-0.3144338479073965,0.056981476277813435,53.085972819440606,Control,True
